#TN	Raw1	Raw2	Raw3	Raw4	Raw5	Raw6	#	#한글명	TN	구분	성격	비고	출처	
#	蒴𧄒						#	#				𧄒	광제비급	
#	𧄒麥						#	#					광제비급	
#	𦭷芒						#	#					광제비급	
#	𦭷稻芒						#	#					광제비급	
#							#	#	狵				광제비급	
#							#	#	觸				광제비급	
#							#	#	盫				광제비급	
厥陰兪	厥陰腧	厥陰輸					#	궐음수	兪	경혈				
心兪	心腧	心輸					#	심수	兪	경혈				
督兪	督腧	督輸					#	독수	兪	경혈				
膈兪	膈腧	膈輸					#	격수	兪	경혈				
肝兪	肝腧	肝輸					#	간수	兪	경혈				
膽兪	膽腧	膽輸					#	담수	兪	경혈				
脾兪	脾腧	脾輸					#	비수	兪	경혈				
胃兪	胃腧	胃輸					#	위수	兪	경혈				
三焦兪	三焦腧	三焦輸					#	삼초수	兪	경혈				
脊兪	脊腧	脊輸					#	척수	兪	경혈				
氣兪	氣腧	氣輸					#	기수	兪	경혈				
兪府	腧府	輸府					#	수부		경혈				
肓兪	肓腧	肓輸					#	황수		경혈				
膏肓兪	膏肓腧	膏肓輸					#	고황수		경혈				
藏兪	藏腧	藏輸					#	장수		경혈				
橛骨	厥骨						#	궐골		경혈				
懸樞	懸柱						#	현추		경혈				
神道	神通						#	신도		경혈				
喑門	瘖門						#	placehold		경혈				
舌本_A	舌木						#	placehold		경혈				
匝風	仰風	#迎風					#	placehold		경혈				
合顱	會顱	會額					#	placehold		경혈				
天滿	天蒲						#	placehold		경혈				
巓上	嶺上						#	placehold		경혈				
面王	面土						#	placehold		경혈				
面正	正面						#	placehold		경혈				
屈骨	耳骨						#	placehold		경혈				
關元	關原						#	placehold		경혈				
丹田_C	端田						#	placehold		경혈				
下肓	#下言						#	placehold		경혈				
脖胦	膊胦						#	placehold		경혈				
少關	小關						#	placehold		경혈				
上脘	上腕						#	placehold		경혈				
上管	上營						#	placehold		경혈				
𩩲骬	𩩲骭						#	placehold		경혈				
骬鶻	骭鶻						#	placehold		경혈				
玉戶	五戶						#	placehold		경혈				
太淵	大淵						#	placehold		경혈				
太泉	大泉						#	placehold		경혈				
間谷	聞谷						#	placehold		경혈				
少谷	小谷						#	placehold		경혈				
逆注	通注						#	placehold		경혈				
蛇頭	池頭						#	placehold		경혈				
扁骨	偏骨	尙骨					#	placehold		경혈				
扁肩	偏肩						#	placehold		경혈				
關門	關明						#	placehold		경혈				
液門_B	腋門	掖門_B					#	placehold		경혈				
外勾	#外丘_B						#	placehold		경혈				
腹屈	臨窟	腹窟					#	placehold		경혈				
腸窟	腸屈	臨窟	長窟	腸窖	腸窩	陽窟	#	placehold		경혈				
兌衝	銳衝	銳中					#	placehold		경혈				
窗籠	窗聾	窗簧					#	placehold		경혈				
顴髎	權髎						#	placehold		경혈				
淚空	淚腔						#	placehold		경혈				
睛明	精明						#	placehold		경혈				
始光	矢光						#	placehold		경혈				
員柱	眉柱	元柱					#	placehold		경혈				
五處	巨處						#	placehold		경혈				
百勞_B	百傍						#	placehold		경혈				
高蓋	商蓋	高益					#	placehold		경혈				
利機_B	利極						#	placehold		경혈				
承扶	扶承						#	placehold		경혈				
皮部	皮郄						#	placehold		경혈				
魄戶	魂戶						#	placehold		경혈				
腨腸	踹腸						#	placehold		경혈				
飛揚	飛陽						#	placehold		경혈				
厥陽	厥陰	厥揚					#	placehold		경혈				
跗陽	付陽	附陽					#	placehold		경혈				
陰蹻	陰躋						#	placehold		경혈				
伏白	復白						#	placehold		경혈				
昌陽	胃陽						#	placehold		경혈				
肓兪	盲兪						#	placehold		경혈				
肓腧	盲腧						#	placehold		경혈				
商曲	高曲						#	placehold		경혈				
石關	石闕						#	placehold		경혈				
食宮	食呂						#	placehold		경혈				
彧中	域中						#	placehold		경혈				
飛虎	飛處						#	placehold		경혈				
瞳子髎	童子髎						#	placehold		경혈				
前關	前間						#	placehold		경혈				
聽訶	聽河	聽呵					#	placehold		경혈				
